"","year","site","n","bm_s","bm_se","den_s","den_se","l_s","l_se"
"1","2019","Bachelor's Beach",10,3496.18007462725,631.711592767656,13.6666666666667,1.98450789994353,20.4297499069558,1.49545939323914
"2","2019","Windsock",9,3128.3476876787,402.261694920842,13.3333333333333,0.941990275434065,20.3101333125843,0.83430472228323
"3","2019","18th Palm",9,2527.79900821398,192.72918088955,12.8703703703704,1.47713482717998,18.5161167777998,1.14773973515655
"4","2019","Calabas",6,3006.94147558042,316.85572138226,13.4722222222222,2.68238998830944,20.1639436234264,1.14591208746985
"5","2019","Front Porch",10,2586.055303728,291.982841486919,11.0833333333333,1.22379948732837,20.8628464827226,1.05327520405265
"6","2019","Forest",4,2842.00658662708,700.762440609717,9.79166666666667,1.24419950466451,21.2875631313131,0.785818318835581
"7","2019","Reef Scientifico",8,2462.36890200333,359.340138873037,10.2083333333333,1.88160213310402,20.9421378968254,1.22548007238386
"8","2019","Barcadera",4,7548.06233005292,2936.31595262619,34.1666666666667,17.9827592329328,21.0684389140271,1.80280666291122
"9","2019","Oil Slick Leap",11,2152.53024042841,281.028912647491,10.6818181818182,1.4338009359625,19.0507489197619,1.47861737927659
"10","2019","Karpata",12,4181.11651841667,1055.43491428207,20.2777777777778,2.91456152985927,17.1330431004425,1.82977332973186
"11","2019","No Dive Reserve",10,2532.81670299083,357.360462991568,18.0833333333333,2.65869758331146,14.790392403383,1.36342850776561
"12","2019","Bonaire Average",11,3314.9295300316,456.233939200864,15.2395928986838,2.13113350526832,19.5050104062947,0.606828806874044
